arm,domain,trace,regime,concurrency,output_tok_s,speedup_vs_baseline,saturation_concurrency,saturation_output_tok_s,saturation_speedup_vs_baseline
EAGLE3,structured-JSON,edgar_json,32K,17,533.680385924558,,17,533.680385924558,
separate-draft,conversational,sharegpt,32K,1,128.7796495808482,1.2787512533557288,10,555.1324718096013,
separate-draft,conversational,sharegpt,32K,5,367.38355448856015,1.0086623870937628,10,555.1324718096013,
separate-draft,conversational,sharegpt,32K,10,555.1324718096013,,10,555.1324718096013,
separate-draft,code,swebench,32K,1,134.6029157887404,1.3360517127164604,10,537.2454313406296,
separate-draft,code,swebench,32K,5,418.8846936951516,1.1499795046051546,10,537.2454313406296,
separate-draft,code,swebench,32K,10,537.2454313406296,,10,537.2454313406296,
separate-draft,summarization-short,cnn_short,32K,1,92.28991024717726,1.1108721108241695,10,239.04426568740175,
separate-draft,summarization-short,cnn_short,32K,5,214.66308104783622,1.0553927454150231,10,239.04426568740175,
separate-draft,summarization-short,cnn_short,32K,10,239.04426568740175,,10,239.04426568740175,
separate-draft,summarization-long,cnn_long,32K,1,105.42072636791643,1.158668300906485,10,305.0879170452136,
separate-draft,summarization-long,cnn_long,32K,5,271.0469237933185,1.0265389055790388,10,305.0879170452136,
separate-draft,summarization-long,cnn_long,32K,10,305.0879170452136,,10,305.0879170452136,
separate-draft,structured-JSON,edgar_json,32K,1,137.974074959007,1.3496325371744307,10,596.0037985872602,
separate-draft,structured-JSON,edgar_json,32K,5,457.108507567316,1.1891395701563485,10,596.0037985872602,
separate-draft,structured-JSON,edgar_json,32K,10,596.0037985872602,,10,596.0037985872602,
separate-draft-1.7B,conversational,sharegpt,8K,1,133.85971841530275,1.3302351834760784,41,695.8405893784482,
separate-draft-1.7B,conversational,sharegpt,8K,5,409.5636570379981,1.124387364370741,41,695.8405893784482,
